Time (s),X Position,Y Position,Z Position,Travel Distance,Lidar Points,CPU Usage (%),Memory Usage (MB)
25.45,-2.6550630365304207e-13,5.1235168136547226e-27,0.0,0.0,-,-,-
25.49,-2.6645219567229746e-13,5.164026788517998e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.53,-2.6739416744598866e-13,5.204570830395012e-27,0.0,0.0,-,-,-
25.57,-2.6833258521799176e-13,5.245163305734041e-27,0.0,0.0,-,-,-
25.61,-2.6926672467898804e-13,5.285771312290867e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.65,-2.70197075141891e-13,5.3264141122894314e-27,0.0,0.0,-,-,-
25.69,-2.711234243222116e-13,5.3670810137232304e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.73,-2.7204626012702784e-13,5.407791646491885e-27,0.0,0.0,-,-,-
25.78,-2.7296552548209053e-13,5.448542062266445e-27,0.0,0.0,-,-,-
25.82,-2.7388093835940115e-13,5.489318197391609e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.86,-2.747924325054611e-13,5.53011531120763e-27,0.0,0.0,-,-,-
25.9,-2.7570022006717966e-13,5.570941376853756e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
25.94,-2.766039788611836e-13,5.611780023012581e-27,0.0,0.0,-,-,-
25.98,-2.7750388065448665e-13,5.65263722487709e-27,0.0,0.0,-,-,-
26.02,-2.784000468580588e-13,5.693517127653461e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.06,-2.7929203234476503e-13,5.73439782608904e-27,0.0,0.0,-,-,-
26.1,-2.801803799873499e-13,5.7753023625451e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.14,-2.810648743446618e-13,5.816219132019879e-27,0.0,0.0,-,-,-
26.18,-2.8194554244063496e-13,5.857147568951719e-27,0.0,0.0,-,-,-
26.23,-2.8282251899733755e-13,5.89809239005161e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.26,-2.8369529732196077e-13,5.93902827402562e-27,0.0,0.0,-,-,-
26.31,-2.8456437755548757e-13,5.979977294143954e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.35,-2.854295694620549e-13,6.020928767042593e-27,0.0,0.0,-,-,-
26.39,-2.86290987333923e-13,6.061886301218849e-27,0.0,0.0,-,-,-
26.43,-2.871485492362815e-13,6.102844352464156e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.47,-2.880021301943084e-13,6.1437952657642776e-27,0.0,0.0,-,-,-
26.51,-2.8885193644604455e-13,6.184747455411753e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.55,-2.8969816560903287e-13,6.225708763542368e-27,0.0,0.0,-,-,-
26.59,-2.9054056052711973e-13,6.266665146154501e-27,0.0,0.0,-,-,-
26.63,-2.9137883223172894e-13,6.307600823259595e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.67,-2.9221337835126495e-13,6.34853358781714e-27,0.0,0.0,-,-,-
26.71,-2.9304414994238706e-13,6.389459633612658e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.75,-2.9387089453503403e-13,6.4303646422522306e-27,0.0,0.0,-,-,-
26.79,-2.9469390140260666e-13,6.471261339776159e-27,0.0,0.0,-,-,-
26.83,-2.9551307011444126e-13,6.512143053073335e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
