Time (s),X Position,Y Position,Z Position,Speed (m/s),Acceleration (m/s²),Obstacle Distance (m),Rotation Angle (deg),LiDAR Points
1742215233.9,-2.2117912017409848e-13,3.4399244288608394e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215233.94,-2.2229135093867203e-13,3.477293938862347e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215233.98,-2.2339978985446563e-13,3.514773695361397e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215234.02,-2.245043310508408e-13,3.552358602592046e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.06,-2.2560490134189013e-13,3.590044772997879e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.1,-2.2670159721713884e-13,3.627833800858098e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215234.14,-2.277944058635233e-13,3.665723323377807e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215234.19,-2.2888334879066775e-13,3.7037119994663886e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215234.23,-2.2996820208543213e-13,3.7417906847097506e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.27,-2.3104936694645066e-13,3.7799717257387935e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.31,-2.32126704625474e-13,3.8182487617597165e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215234.35,-2.3320026692156907e-13,3.856621955607607e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215234.39,-2.3426982173091454e-13,3.895081524710009e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215234.43,-2.3533547503979383e-13,3.933629633677523e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.47,-2.363971811899403e-13,3.972262742919664e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215234.51,-2.3745506152126283e-13,4.010983760977761e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215234.55,-2.385093191059132e-13,4.049798443173105e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215234.59,-2.3955960305546605e-13,4.0886923745516934e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215234.63,-2.4060605888996507e-13,4.127669126522078e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215234.67,-2.4164859675197055e-13,4.166723247265577e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215234.71,-2.426870427374926e-13,4.205847013997501e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.75,-2.4372165757772317e-13,4.245048856787523e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215234.79,-2.4475259943229155e-13,4.284333018871899e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215234.84,-2.457795700848075e-13,4.323686144153483e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215234.88,-2.4680268259974677e-13,4.363110858584919e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215234.91,-2.478219479039882e-13,4.402606380849657e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215234.95,-2.488371924829772e-13,4.442164136608826e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215235.0,-2.4984851272814967e-13,4.4817860761143394e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215235.04,-2.5085608259866524e-13,4.521477289064764e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.08,-2.5185985043066526e-13,4.561233915668505e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.12,-2.5285943691726406e-13,4.601039558401072e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215235.16,-2.538555499401739e-13,4.6409211100459555e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215235.21,-2.548476229814252e-13,4.680853963909863e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215235.25,-2.5583593626980933e-13,4.720847478845591e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.29,-2.568204267182955e-13,4.7608974684385345e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215235.33,-2.5780108925496797e-13,4.801002157753021e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215235.37,-2.587778837029637e-13,4.841158339404592e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215235.41,-2.5975061045364536e-13,4.8813558534104666e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215235.45,-2.6071950040969133e-13,4.921602966788936e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215235.49,-2.616846302554594e-13,4.9619008568591894e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215235.53,-2.626458669505316e-13,5.002242355963171e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215235.57,-2.6360323501133707e-13,5.04262683249325e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.61,-2.6455663185712963e-13,5.083048716325297e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.65,-2.6550630365304207e-13,5.1235168136547226e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215235.69,-2.6645219567229746e-13,5.164026788517998e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215235.73,-2.6739416744598866e-13,5.204570830395012e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215235.78,-2.6833258521799176e-13,5.245163305734041e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215235.82,-2.6926672467898804e-13,5.285771312290867e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215235.86,-2.70197075141891e-13,5.3264141122894314e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.9,-2.711234243222116e-13,5.3670810137232304e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215235.94,-2.7204626012702784e-13,5.407791646491885e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215235.98,-2.7296552548209053e-13,5.448542062266445e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.02,-2.7388093835940115e-13,5.489318197391609e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.06,-2.747924325054611e-13,5.53011531120763e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.1,-2.7570022006717966e-13,5.570941376853756e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.14,-2.766039788611836e-13,5.611780023012581e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215236.18,-2.7750388065448665e-13,5.65263722487709e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215236.22,-2.784000468580588e-13,5.693517127653461e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215236.27,-2.7929203234476503e-13,5.73439782608904e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215236.3,-2.801803799873499e-13,5.7753023625451e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215236.35,-2.810648743446618e-13,5.816219132019879e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.39,-2.8194554244063496e-13,5.857147568951719e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.43,-2.8282251899733755e-13,5.89809239005161e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.47,-2.8369529732196077e-13,5.93902827402562e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.51,-2.8456437755548757e-13,5.979977294143954e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.55,-2.854295694620549e-13,6.020928767042593e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.59,-2.86290987333923e-13,6.061886301218849e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.63,-2.871485492362815e-13,6.102844352464156e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.67,-2.880021301943084e-13,6.1437952657642776e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.71,-2.8885193644604455e-13,6.184747455411753e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.75,-2.8969816560903287e-13,6.225708763542368e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215236.79,-2.9054056052711973e-13,6.266665146154501e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215236.84,-2.9137883223172894e-13,6.307600823259595e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215236.88,-2.9221337835126495e-13,6.34853358781714e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215236.92,-2.9304414994238706e-13,6.389459633612658e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215236.96,-2.9387089453503403e-13,6.4303646422522306e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.0,-2.9469390140260666e-13,6.471261339776159e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.04,-2.9551307011444126e-13,6.512143053073335e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215237.08,-2.9632841401607853e-13,6.55300881069163e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215237.12,-2.971398268858062e-13,6.593851563888611e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215237.16,-2.9794733053516144e-13,6.63467088676028e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215237.2,-2.9875092298206775e-13,6.675464954853067e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215237.25,-2.995507907538687e-13,6.71624151100573e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215237.28,-3.0034702917828166e-13,6.75700387981799e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.32,-3.0113915516640126e-13,6.797725577352869e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215237.37,-3.019275426714828e-13,6.838424176853792e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215237.41,-3.027123033905217e-13,6.879103681225761e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215237.45,-3.034930057533277e-13,6.919740390086071e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215237.49,-3.042699902102212e-13,6.960350342779375e-27,0.0,0.0,-0.0,2.36,-0.0,720
1742215237.53,-3.0504291424222397e-13,7.000913962577802e-27,0.0,0.0,0.0,2.36,-0.0,720
1742215237.57,-3.05811999740872e-13,7.041441071909525e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.61,-3.0657718032392337e-13,7.081926599966634e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215237.65,-3.073387708124758e-13,7.12238542935297e-27,0.0,0.0,-0.0,2.35,-0.0,720
1742215237.69,-3.0809646523701306e-13,7.162799673642001e-27,0.0,0.0,0.0,2.37,-0.0,720
1742215237.73,-3.0885035378000496e-13,7.203172455077077e-27,0.0,0.0,-0.0,2.37,-0.0,720
1742215237.77,-3.0960062030366917e-13,7.243512206741547e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.81,-3.103469229094333e-13,7.283799010796333e-27,0.0,0.0,0.0,2.35,-0.0,720
1742215237.86,-3.1108941779185364e-13,7.324039579562255e-27,0.0,0.0,-0.0,2.35,-0.0,720
